arrival_time_ms,input_length
0,21687
0,17525
3000,16221
3000,5989
3000,8735
3000,38465
3000,4436
3000,6077
3000,892
3000,31362
3000,5613
6001,9289
6001,23182
6001,12202
6001,14310
6001,4564
6001,942
6001,17748
9001,10932
9001,2791
9001,4558
9001,5144
9001,980
9001,12200
9001,14977
9001,11562
9001,20289
12001,22917
12001,4389
12001,2770
12001,27541
12001,13667
12001,5767
12001,5868
12001,22284
12001,37393
15001,3445
15001,1653
15001,12007
15001,19875
15001,60250
15001,4312
15001,935
15001,5917
15001,21152
15001,6175
15001,21763
15001,3102
18000,27003
18000,15663
18000,4641
18000,1248
18000,14774
18000,894
18000,895
21001,1247
21001,11233
21001,5249
21001,8223
21001,2726
21001,27579
21001,4921
21001,960
21001,912
21001,4744
24001,15689
24001,11116
24001,30467
24001,24652
27000,8183
27000,1751
27000,1467
27000,10959
27000,4975
27000,31789
30000,3920
30000,999
30000,5065
30000,15590
33001,5461
33001,903
33001,18958
33001,11293
33001,38877
33001,3302
33001,4976
33001,12211
33001,7887
33001,3102
36001,1999
36001,3360
36001,7213
36001,7107
36001,1560
36001,6296
36001,1885
39001,12788
39001,900
39001,896
39001,4757
39001,903
39001,2040
39001,3230
39001,1205
42001,13873
42001,898
42001,9716
42001,12432
42001,28928
42001,908
42001,9227
42001,4482
42001,13843
42001,1698
42001,8890
45000,6874
45000,900
45000,3234
45000,18586
45000,1421
45000,1962
48001,4381
48001,6628
48001,8344
48001,5264
48001,20977
48001,9082
48001,7797
48001,1101
48001,21005
48001,916
48001,23175
51000,5940
51000,13028
51000,2489
51000,23994
51000,899
51000,4398
51000,4775
51000,15993
51000,4421
51000,3025
51000,16879
51000,4766
51000,12332
51000,5241
54001,8828
54001,1883
54001,3520
54001,4020
54001,13818
54001,63778
54001,17473
54001,17838
54001,21751
54001,7630
54001,4764
57001,11067
57001,4151
57001,6851
57001,10336
57001,9607
57001,15163
57001,9124
57001,4277
57001,3755
57001,22215
57001,1766
60001,43167
60001,897
60001,20062
60001,4755
60001,1535
60001,898
60001,3125
60001,6286
60001,13100
60001,4404
60001,6032
60001,14372
60001,2554
60001,6809
60001,7910
60001,1317
63001,4515
63001,17240
63001,4468
63001,912
63001,13736
63001,8376
63001,6631
63001,16121
63001,2042
63001,5143
66000,3764
66000,10246
66000,5510
66000,8719
66000,7068
66000,13622
66000,17906
66000,2615
66000,5119
66000,36864
69001,15463
69001,4461
69001,14624
69001,20246
69001,16383
69001,4778
69001,4587
69001,29696
69001,27054
69001,11367
69001,2402
69001,5769
69001,13558
69001,1311
72000,949
72000,1258
72000,1459
72000,9110
72000,39061
72000,1241
72000,2073
72000,907
72000,6831
72000,3063
72000,13410
72000,14672
72000,6471
72000,6224
72000,5416
72000,1340
72000,14133
72000,20611
72000,33543
72000,9905
72000,5795
75001,13670
75001,5075
75001,8341
75001,6685
75001,15588
75001,924
75001,7796
75001,6160
75001,12393
75001,8158
75001,11924
75001,1733
75001,35123
75001,1317
78001,6596
78001,14703
78001,4226
78001,14100
78001,7284
78001,30889
78001,924
78001,2066
78001,23583
78001,1327
78001,14015
78001,15203
78001,1473
78001,897
78001,4152
78001,24291
78001,13337
78001,8257
81001,14422
81001,24584
81001,18825
81001,12714
81001,16199
81001,8313
81001,15605
81001,6518
81001,2841
81001,25707
81001,19201
81001,17440
84001,6497
84001,893
84001,3931
84001,2144
84001,6909
84001,14489
84001,37071
84001,902
84001,10731
84001,17111
87000,4177
87000,2152
87000,46239
87000,1484
87000,8834
87000,3695
87000,24344
87000,3055
87000,1188
90001,1683
90001,2242
90001,17035
90001,9466
90001,1060
90001,14581
90001,10919
90001,14452
93001,14328
93001,15666
93001,51976
93001,20095
93001,5738
93001,3852
93001,4606
93001,6022
96001,905
96001,895
96001,12732
96001,2111
96001,12309
96001,9928
96001,921
96001,4037
96001,24187
96001,14216
96001,1292
99000,1544
99000,9790
99000,898
99000,31509
99000,3162
99000,10805
99000,989
99000,5038
102001,898
102001,25205
102001,4846
102001,2371
102001,4780
102001,5025
102001,10217
105000,4016
105000,9255
105000,1817
105000,6750
105000,9364
105000,8187
105000,21912
105000,29874
105000,16873
105000,11408
105000,898
105000,15241
108001,8520
108001,5163
108001,4225
108001,22390
108001,20654
108001,41502
108001,7456
111001,3614
111001,19733
111001,1475
111001,5708
111001,902
111001,3877
111001,1102
111001,900
111001,4399
111001,8385
111001,14179
111001,30568
111001,943
111001,896
111001,902
111001,1908
114001,897
114001,12212
114001,1925
114001,32245
114001,24604
114001,14058
114001,895
114001,15629
114001,2382
114001,12262
114001,9214
114001,1874
117001,10738
117001,3137
117001,9167
117001,5884
117001,3679
117001,5279
117001,2842
117001,7406
117001,8350
120001,915
120001,7992
120001,1160
120001,5997
120001,2915
120001,1494
120001,8286
120001,7763
120001,21905
123001,7540
123001,19424
123001,908
123001,10616
123001,899
123001,1254
123001,3854
123001,5830
123001,40409
123001,15506
123001,3416
123001,40912
126000,14362
126000,7339
126000,15103
126000,3633
126000,1242
126000,26270
126000,26371
126000,947
126000,8014
129000,4261
129000,900
129000,25936
129000,3738
129000,7487
129000,3586
129000,8751
129000,13855
129000,3813
132000,21676
132000,22653
132000,50695
132000,61494
132000,15399
135001,13253
135001,11596
135001,1926
135001,895
135001,16321
135001,33185
135001,1915
135001,2079
138000,18015
138000,897
138000,8116
138000,7312
138000,6655
138000,9672
138000,939
138000,1777
138000,8513
138000,4283
138000,4436
138000,3813
138000,1804
138000,893
138000,3331
141000,1495
141000,1507
141000,899
141000,13503
141000,37996
141000,2399
141000,6334
141000,2092
141000,4697
141000,3493
141000,1303
141000,4045
144000,3248
144000,5350
144000,23953
144000,4986
144000,2653
144000,8635
144000,14593
144000,2196
144000,4388
144000,896
144000,2380
147001,17139
147001,5596
147001,3275
147001,11711
147001,22507
147001,1521
147001,7320
147001,5301
147001,19887
147001,1736
150001,7773
150001,47852
150001,24824
150001,10236
150001,5614
150001,17809
150001,22303
150001,19860
150001,5063
150001,5840
150001,40021
150001,48015
