arrival_time_ms,input_length
0,4703
0,1999
2999,6959
2999,960
2999,1354
2999,47045
2999,1209
2999,20309
2999,1058
2999,14257
2999,2450
6000,6331
6000,912
6000,1180
6000,7553
6000,15448
6000,4180
6000,1790
9000,4937
9000,8269
9000,3629
9000,17553
9000,24803
9000,13744
9000,12988
9000,18264
9000,25160
9000,45291
9000,13268
9000,4181
9000,5855
11999,11909
11999,2653
11999,1723
11999,2527
11999,32219
11999,48271
11999,3832
11999,5627
11999,20164
11999,63417
11999,13754
11999,904
15000,6871
15000,5266
15000,2114
15000,5732
15000,14824
15000,11811
15000,7917
15000,8359
15000,11688
15000,32850
15000,8957
18000,5113
18000,1175
18000,16416
18000,16384
18000,10223
18000,14108
18000,6638
18000,1238
18000,12998
18000,15372
18000,4771
18000,13277
21000,11635
21000,897
21000,1098
21000,39575
21000,25655
21000,25308
21000,9434
21000,5028
21000,10300
21000,41730
21000,15553
21000,15038
21000,8753
21000,2020
21000,9583
21000,6767
21000,1351
21000,9398
21000,1166
21000,13544
24000,7948
24000,24699
24000,5455
24000,5017
24000,6324
24000,25371
24000,1247
24000,20088
24000,16615
24000,8997
24000,7074
24000,919
26999,17973
26999,4652
26999,6152
26999,6268
26999,4022
26999,6132
26999,6949
26999,4874
26999,14249
26999,1269
26999,4172
26999,4283
30000,893
30000,11608
30000,1319
30000,4532
30000,1705
30000,3640
30000,2824
30000,941
30000,951
30000,5891
30000,3137
30000,16929
30000,1559
30000,8057
33000,25327
33000,3171
33000,2200
33000,2908
